node_id,NodeID,longitude,latitude
0,92090040,-97.32740541,27.71433955
1,92090041,-97.32748948,27.71462812
2,92090042,-97.32723887,27.71426928
3,92090070,-97.32644088,27.71399436
4,92090090,-97.32646731,27.71394463
5,92090100,-97.32536291,27.7134797
6,92100100,-97.32277555,27.71432338
7,92100110,-97.32418561,27.71427491
8,92100120,-97.32416619,27.71431147
9,92100130,-97.32379517,27.71412189
10,92100150,-97.32303962,27.71382577
11,92100160,-97.32449662,27.71368935
12,92100170,-97.32228511,27.71357514
13,92100190,-97.32230392,27.71353743
14,92100220,-97.3248147,27.71305112
15,92100230,-97.32523895,27.71303194
16,92100240,-97.32444656,27.71290291
17,92100250,-97.32491765,27.71289668
18,92100260,-97.32323393,27.71267737
19,92100280,-97.32334476,27.71245933
20,92100300,-97.32157821,27.71199728
21,92100320,-97.3202312,27.71144397
22,OF_1,-97.32812927,27.714645